"DTI_CL_MES","Mes","CL_T017ESTACION_SHOA","Estación ambiental SHOA","Value","Flag Codes","Flags"
"2015-M04","2015 Abril","T017002","Pisagua",16.38,,
"2015-M05","2015 Mayo","T017002","Pisagua",17.37,,
"2015-M06","2015 Junio","T017002","Pisagua",17.37,,
"2015-M07","2015 Julio","T017002","Pisagua",16.64,,
"2015-M08","2015 Agosto","T017002","Pisagua",15.75,,
"2015-M09","2015 Septiembre","T017002","Pisagua",16.06,,
"2015-M10","2015 Octubre","T017002","Pisagua",16.01,,
"2015-M11","2015 Noviembre","T017002","Pisagua",16.46,,
"2015-M12","2015 Diciembre","T017002","Pisagua",17.28,,
"2016-M01","2016 Enero","T017002","Pisagua",16.78,,
"2016-M02","2016 Febrero","T017002","Pisagua",14.98,,
"2016-M03","2016 Marzo","T017002","Pisagua",15.08,,
"2016-M04","2016 Abril","T017002","Pisagua",13.47,,
"2016-M05","2016 Mayo","T017002","Pisagua",13.36,,
"2016-M06","2016 Junio","T017002","Pisagua",11.76,,
"2016-M07","2016 Julio","T017002","Pisagua",11.43,,
"2016-M08","2016 Agosto","T017002","Pisagua",11.51,,
"2016-M09","2016 Septiembre","T017002","Pisagua",11.5,,
"2016-M10","2016 Octubre","T017002","Pisagua",12.41,,
"2016-M11","2016 Noviembre","T017002","Pisagua",12.97,,
"2016-M12","2016 Diciembre","T017002","Pisagua",14.02,,
"2015-M01","2015 Enero","T017003","Iquique",15.87,,
"2015-M02","2015 Febrero","T017003","Iquique",16.09,,
"2015-M03","2015 Marzo","T017003","Iquique",16.07,,
"2015-M04","2015 Abril","T017003","Iquique",16.6,,
"2015-M05","2015 Mayo","T017003","Iquique",17.09,,
"2015-M06","2015 Junio","T017003","Iquique",16.85,,
"2015-M07","2015 Julio","T017003","Iquique",16.02,,
"2015-M08","2015 Agosto","T017003","Iquique",15.42,,
"2015-M09","2015 Septiembre","T017003","Iquique",15.25,,
"2015-M10","2015 Octubre","T017003","Iquique",15.45,,
"2015-M11","2015 Noviembre","T017003","Iquique",16.52,,
"2015-M12","2015 Diciembre","T017003","Iquique",16.94,,
"2016-M01","2016 Enero","T017003","Iquique",18.1,,
"2016-M02","2016 Febrero","T017003","Iquique",17.26,,
"2016-M03","2016 Marzo","T017003","Iquique",17.09,,
"2016-M04","2016 Abril","T017003","Iquique",15.63,,
"2016-M05","2016 Mayo","T017003","Iquique",15.27,,
"2016-M06","2016 Junio","T017003","Iquique",14.77,,
"2016-M07","2016 Julio","T017003","Iquique",14.53,,
"2016-M08","2016 Agosto","T017003","Iquique",15.03,,
"2016-M09","2016 Septiembre","T017003","Iquique",14.08,,
"2017-M01","2017 Enero","T017003","Iquique",16.8,,
"2017-M02","2017 Febrero","T017003","Iquique",16.24,,
"2017-M03","2017 Marzo","T017003","Iquique",14.66,,
"2017-M04","2017 Abril","T017003","Iquique",14.28,,
"2017-M05","2017 Mayo","T017003","Iquique",15.39,,
"2017-M06","2017 Junio","T017003","Iquique",16.77,,
"2017-M07","2017 Julio","T017003","Iquique",16.2,,
"2017-M08","2017 Agosto","T017003","Iquique",16.02,,
"2017-M09","2017 Septiembre","T017003","Iquique",14.85,,
"2017-M10","2017 Octubre","T017003","Iquique",14.98,,
"2017-M11","2017 Noviembre","T017003","Iquique",15.49,,
"2017-M12","2017 Diciembre","T017003","Iquique",15.92,,
"2015-M01","2015 Enero","T017004","Patache",14.2,,
"2015-M02","2015 Febrero","T017004","Patache",13.42,,
"2015-M03","2015 Marzo","T017004","Patache",13.11,,
"2015-M04","2015 Abril","T017004","Patache",14.27,,
"2015-M05","2015 Mayo","T017004","Patache",15.01,,
"2015-M06","2015 Junio","T017004","Patache",14.77,,
"2015-M07","2015 Julio","T017004","Patache",14.33,,
"2015-M08","2015 Agosto","T017004","Patache",13.6,,
"2015-M09","2015 Septiembre","T017004","Patache",13.96,,
"2015-M10","2015 Octubre","T017004","Patache",14.09,,
"2015-M01","2015 Enero","T017005","Tocopilla",14.03,,
"2015-M02","2015 Febrero","T017005","Tocopilla",14.79,,
"2015-M03","2015 Marzo","T017005","Tocopilla",16.04,,
"2015-M04","2015 Abril","T017005","Tocopilla",16.93,,
"2015-M05","2015 Mayo","T017005","Tocopilla",16.06,,
"2015-M06","2015 Junio","T017005","Tocopilla",17.19,,
"2015-M07","2015 Julio","T017005","Tocopilla",17.56,,
"2015-M08","2015 Agosto","T017005","Tocopilla",15.6,,
"2015-M09","2015 Septiembre","T017005","Tocopilla",15.95,,
"2015-M10","2015 Octubre","T017005","Tocopilla",15.85,,
"2015-M11","2015 Noviembre","T017005","Tocopilla",16.1,,
"2015-M12","2015 Diciembre","T017005","Tocopilla",16.69,,
"2015-M01","2015 Enero","T017006","Mejillones",17.75,,
"2015-M02","2015 Febrero","T017006","Mejillones",17.81,,
"2015-M03","2015 Marzo","T017006","Mejillones",17.98,,
"2015-M04","2015 Abril","T017006","Mejillones",17.57,,
"2015-M05","2015 Mayo","T017006","Mejillones",16.98,,
"2015-M06","2015 Junio","T017006","Mejillones",17.07,,
"2015-M07","2015 Julio","T017006","Mejillones",16.79,,
"2015-M08","2015 Agosto","T017006","Mejillones",16.36,,
"2015-M09","2015 Septiembre","T017006","Mejillones",16.88,,
"2015-M10","2015 Octubre","T017006","Mejillones",16.56,,
"2015-M11","2015 Noviembre","T017006","Mejillones",16.46,,
"2015-M12","2015 Diciembre","T017006","Mejillones",17.84,,
"2016-M01","2016 Enero","T017006","Mejillones",17.37,,
"2016-M02","2016 Febrero","T017006","Mejillones",15.34,,
"2016-M03","2016 Marzo","T017006","Mejillones",14.98,,
"2016-M04","2016 Abril","T017006","Mejillones",14.7,,
"2016-M05","2016 Mayo","T017006","Mejillones",14.49,,
"2016-M06","2016 Junio","T017006","Mejillones",12.93,,
"2016-M07","2016 Julio","T017006","Mejillones",11.46,,
"2016-M08","2016 Agosto","T017006","Mejillones",12.29,,
"2016-M09","2016 Septiembre","T017006","Mejillones",12.61,,
"2016-M10","2016 Octubre","T017006","Mejillones",13.6,,
"2016-M11","2016 Noviembre","T017006","Mejillones",14,,
"2016-M12","2016 Diciembre","T017006","Mejillones",15.42,,
"2015-M01","2015 Enero","T017007","Antofagasta",20.12,,
"2015-M02","2015 Febrero","T017007","Antofagasta",20.62,,
"2015-M03","2015 Marzo","T017007","Antofagasta",19.2,,
"2015-M04","2015 Abril","T017007","Antofagasta",18.59,,
"2015-M05","2015 Mayo","T017007","Antofagasta",16.81,,
"2015-M06","2015 Junio","T017007","Antofagasta",16.68,,
"2015-M07","2015 Julio","T017007","Antofagasta",16.37,,
"2015-M08","2015 Agosto","T017007","Antofagasta",15.89,,
"2015-M09","2015 Septiembre","T017007","Antofagasta",16.89,,
"2015-M10","2015 Octubre","T017007","Antofagasta",17.19,,
"2015-M11","2015 Noviembre","T017007","Antofagasta",17.69,,
"2015-M12","2015 Diciembre","T017007","Antofagasta",19.34,,
"2016-M01","2016 Enero","T017007","Antofagasta",20.43,,
"2016-M02","2016 Febrero","T017007","Antofagasta",20.6,,
"2016-M03","2016 Marzo","T017007","Antofagasta",20,,
"2016-M04","2016 Abril","T017007","Antofagasta",17.75,,
"2016-M05","2016 Mayo","T017007","Antofagasta",17.36,,
"2016-M06","2016 Junio","T017007","Antofagasta",15.64,,
"2016-M07","2016 Julio","T017007","Antofagasta",15.35,,
"2016-M08","2016 Agosto","T017007","Antofagasta",15.99,,
"2016-M09","2016 Septiembre","T017007","Antofagasta",16,,
"2016-M10","2016 Octubre","T017007","Antofagasta",16.9,,
"2016-M11","2016 Noviembre","T017007","Antofagasta",18.74,,
"2016-M12","2016 Diciembre","T017007","Antofagasta",19.67,,
"2017-M01","2017 Enero","T017007","Antofagasta",22.24,,
"2017-M02","2017 Febrero","T017007","Antofagasta",20.55,,
"2017-M03","2017 Marzo","T017007","Antofagasta",19.21,,
"2017-M04","2017 Abril","T017007","Antofagasta",17.55,,
"2017-M05","2017 Mayo","T017007","Antofagasta",16.39,,
"2017-M06","2017 Junio","T017007","Antofagasta",15.65,,
"2017-M07","2017 Julio","T017007","Antofagasta",15.53,,
"2017-M08","2017 Agosto","T017007","Antofagasta",15.54,,
"2017-M09","2017 Septiembre","T017007","Antofagasta",15.59,,
"2017-M10","2017 Octubre","T017007","Antofagasta",15.98,,
"2017-M11","2017 Noviembre","T017007","Antofagasta",17.36,,
"2017-M12","2017 Diciembre","T017007","Antofagasta",19.12,,
"2015-M01","2015 Enero","T017008","Paposo",17.02,,
"2015-M02","2015 Febrero","T017008","Paposo",16.96,,
"2015-M03","2015 Marzo","T017008","Paposo",17.5,,
"2015-M04","2015 Abril","T017008","Paposo",16.38,,
"2015-M05","2015 Mayo","T017008","Paposo",15.73,,
"2015-M06","2015 Junio","T017008","Paposo",15.72,,
"2015-M07","2015 Julio","T017008","Paposo",15.62,,
"2015-M08","2015 Agosto","T017008","Paposo",15.04,,
"2015-M09","2015 Septiembre","T017008","Paposo",15.52,,
"2015-M10","2015 Octubre","T017008","Paposo",15.41,,
"2015-M11","2015 Noviembre","T017008","Paposo",15.47,,
"2015-M12","2015 Diciembre","T017008","Paposo",16.67,,
"2015-M01","2015 Enero","T017009","Taltal",17.1,,
"2015-M02","2015 Febrero","T017009","Taltal",17.51,,
"2015-M03","2015 Marzo","T017009","Taltal",17.79,,
"2015-M04","2015 Abril","T017009","Taltal",16.75,,
"2015-M05","2015 Mayo","T017009","Taltal",16.15,,
"2015-M06","2015 Junio","T017009","Taltal",15.8,,
"2015-M07","2015 Julio","T017009","Taltal",15.68,,
"2015-M08","2015 Agosto","T017009","Taltal",15.43,,
"2015-M09","2015 Septiembre","T017009","Taltal",15.79,,
"2015-M10","2015 Octubre","T017009","Taltal",16.12,,
"2015-M11","2015 Noviembre","T017009","Taltal",16.15,,
"2015-M12","2015 Diciembre","T017009","Taltal",17.23,,
"2015-M01","2015 Enero","T017010","Isla San Félix",19.48,,
"2015-M02","2015 Febrero","T017010","Isla San Félix",20.06,,
"2015-M03","2015 Marzo","T017010","Isla San Félix",20.39,,
"2015-M04","2015 Abril","T017010","Isla San Félix",20.39,,
"2015-M05","2015 Mayo","T017010","Isla San Félix",19.61,,
"2015-M06","2015 Junio","T017010","Isla San Félix",19.07,,
"2015-M07","2015 Julio","T017010","Isla San Félix",18.25,,
"2015-M08","2015 Agosto","T017010","Isla San Félix",17.54,,
"2015-M09","2015 Septiembre","T017010","Isla San Félix",17.6,,
"2015-M10","2015 Octubre","T017010","Isla San Félix",18.02,,
"2015-M11","2015 Noviembre","T017010","Isla San Félix",18.27,,
"2015-M12","2015 Diciembre","T017010","Isla San Félix",18.45,,
"2016-M01","2016 Enero","T017010","Isla San Félix",20.82,,
"2016-M02","2016 Febrero","T017010","Isla San Félix",21.85,,
"2016-M03","2016 Marzo","T017010","Isla San Félix",21.31,,
"2016-M04","2016 Abril","T017010","Isla San Félix",20.55,,
"2016-M05","2016 Mayo","T017010","Isla San Félix",20.3,,
"2016-M06","2016 Junio","T017010","Isla San Félix",19.36,,
"2016-M07","2016 Julio","T017010","Isla San Félix",18.22,,
"2016-M08","2016 Agosto","T017010","Isla San Félix",17.6,,
"2016-M09","2016 Septiembre","T017010","Isla San Félix",17.13,,
"2016-M10","2016 Octubre","T017010","Isla San Félix",17.62,,
"2016-M11","2016 Noviembre","T017010","Isla San Félix",18.14,,
"2016-M12","2016 Diciembre","T017010","Isla San Félix",19.01,,
"2017-M01","2017 Enero","T017010","Isla San Félix",20.61,,
"2017-M02","2017 Febrero","T017010","Isla San Félix",21.86,,
"2017-M03","2017 Marzo","T017010","Isla San Félix",22.16,,
"2017-M04","2017 Abril","T017010","Isla San Félix",21.79,,
"2017-M05","2017 Mayo","T017010","Isla San Félix",20.54,,
"2017-M06","2017 Junio","T017010","Isla San Félix",18.91,,
"2017-M07","2017 Julio","T017010","Isla San Félix",17.74,,
"2017-M08","2017 Agosto","T017010","Isla San Félix",17.39,,
"2017-M09","2017 Septiembre","T017010","Isla San Félix",16.84,,
"2017-M10","2017 Octubre","T017010","Isla San Félix",16.48,,
"2017-M11","2017 Noviembre","T017010","Isla San Félix",17.53,,
"2017-M12","2017 Diciembre","T017010","Isla San Félix",18.05,,
"2015-M01","2015 Enero","T017011","Isla de Pascua",24.41,,
"2015-M02","2015 Febrero","T017011","Isla de Pascua",25.98,,
"2015-M03","2015 Marzo","T017011","Isla de Pascua",25.86,,
"2015-M04","2015 Abril","T017011","Isla de Pascua",24.87,,
"2015-M05","2015 Mayo","T017011","Isla de Pascua",22.79,,
"2015-M06","2015 Junio","T017011","Isla de Pascua",21.09,,
"2015-M07","2015 Julio","T017011","Isla de Pascua",20.43,,
"2015-M08","2015 Agosto","T017011","Isla de Pascua",20.24,,
"2015-M09","2015 Septiembre","T017011","Isla de Pascua",20,,
"2015-M10","2015 Octubre","T017011","Isla de Pascua",20.34,,
"2015-M11","2015 Noviembre","T017011","Isla de Pascua",21.86,,
"2015-M12","2015 Diciembre","T017011","Isla de Pascua",23.21,,
"2017-M01","2017 Enero","T017011","Isla de Pascua",24.77,,
"2017-M06","2017 Junio","T017011","Isla de Pascua",22.32,,
"2017-M07","2017 Julio","T017011","Isla de Pascua",20.98,,
"2017-M08","2017 Agosto","T017011","Isla de Pascua",20.77,,
"2017-M09","2017 Septiembre","T017011","Isla de Pascua",20.9,,
"2017-M10","2017 Octubre","T017011","Isla de Pascua",21.25,,
"2017-M11","2017 Noviembre","T017011","Isla de Pascua",21.75,,
"2017-M12","2017 Diciembre","T017011","Isla de Pascua",22.89,,
"2015-M01","2015 Enero","T017012","Chañaral",17.94,,
"2015-M02","2015 Febrero","T017012","Chañaral",18.25,,
"2015-M03","2015 Marzo","T017012","Chañaral",17.62,,
"2015-M04","2015 Abril","T017012","Chañaral",17.32,,
"2015-M05","2015 Mayo","T017012","Chañaral",15.82,,
"2015-M06","2015 Junio","T017012","Chañaral",15.74,,
"2015-M07","2015 Julio","T017012","Chañaral",15.31,,
"2015-M08","2015 Agosto","T017012","Chañaral",15.2,,
"2015-M09","2015 Septiembre","T017012","Chañaral",16.35,,
"2015-M10","2015 Octubre","T017012","Chañaral",16.43,,
"2015-M11","2015 Noviembre","T017012","Chañaral",17.05,,
"2015-M12","2015 Diciembre","T017012","Chañaral",17.76,,
"2016-M01","2016 Enero","T017012","Chañaral",19.24,,
"2016-M02","2016 Febrero","T017012","Chañaral",19.59,,
"2016-M03","2016 Marzo","T017012","Chañaral",18.84,,
"2016-M04","2016 Abril","T017012","Chañaral",16.41,,
"2016-M05","2016 Mayo","T017012","Chañaral",16.02,,
"2016-M06","2016 Junio","T017012","Chañaral",14.69,,
"2016-M07","2016 Julio","T017012","Chañaral",14.66,,
"2016-M08","2016 Agosto","T017012","Chañaral",15.27,,
"2016-M09","2016 Septiembre","T017012","Chañaral",15.36,,
"2016-M10","2016 Octubre","T017012","Chañaral",16.44,,
"2016-M11","2016 Noviembre","T017012","Chañaral",18.22,,
"2016-M12","2016 Diciembre","T017012","Chañaral",18.22,,
"2015-M01","2015 Enero","T017013","Caldera",16.97,,
"2015-M02","2015 Febrero","T017013","Caldera",16.62,,
"2015-M03","2015 Marzo","T017013","Caldera",17.46,,
"2015-M04","2015 Abril","T017013","Caldera",16.45,,
"2015-M05","2015 Mayo","T017013","Caldera",15.04,,
"2015-M06","2015 Junio","T017013","Caldera",15.21,,
"2015-M07","2015 Julio","T017013","Caldera",14.8,,
"2015-M08","2015 Agosto","T017013","Caldera",14.64,,
"2015-M09","2015 Septiembre","T017013","Caldera",15.4,,
"2015-M10","2015 Octubre","T017013","Caldera",15.06,,
"2015-M11","2015 Noviembre","T017013","Caldera",15.52,,
"2015-M12","2015 Diciembre","T017013","Caldera",16.35,,
"2016-M01","2016 Enero","T017013","Caldera",18.3,,
"2016-M02","2016 Febrero","T017013","Caldera",18.24,,
"2016-M03","2016 Marzo","T017013","Caldera",18.17,,
"2016-M04","2016 Abril","T017013","Caldera",15.66,,
"2016-M05","2016 Mayo","T017013","Caldera",15.42,,
"2016-M06","2016 Junio","T017013","Caldera",14.19,,
"2016-M07","2016 Julio","T017013","Caldera",14.08,,
"2016-M08","2016 Agosto","T017013","Caldera",14.72,,
"2016-M09","2016 Septiembre","T017013","Caldera",14.86,,
"2016-M10","2016 Octubre","T017013","Caldera",15.78,,
"2016-M11","2016 Noviembre","T017013","Caldera",17.04,,
"2016-M12","2016 Diciembre","T017013","Caldera",17.48,,
"2017-M01","2017 Enero","T017013","Caldera",19.04,,
"2017-M02","2017 Febrero","T017013","Caldera",18.62,,
"2017-M03","2017 Marzo","T017013","Caldera",17.43,,
"2017-M04","2017 Abril","T017013","Caldera",17.09,,
"2017-M05","2017 Mayo","T017013","Caldera",15.31,,
"2017-M06","2017 Junio","T017013","Caldera",15.25,,
"2017-M07","2017 Julio","T017013","Caldera",14.45,,
"2017-M08","2017 Agosto","T017013","Caldera",14.31,,
"2017-M09","2017 Septiembre","T017013","Caldera",14.5,,
"2017-M10","2017 Octubre","T017013","Caldera",14.43,,
"2017-M11","2017 Noviembre","T017013","Caldera",15.42,,
"2017-M12","2017 Diciembre","T017013","Caldera",17.2,,
"2015-M01","2015 Enero","T017014","Huasco",15.76,,
"2015-M02","2015 Febrero","T017014","Huasco",15.92,,
"2015-M03","2015 Marzo","T017014","Huasco",17.84,,
"2015-M04","2015 Abril","T017014","Huasco",15.6,,
"2015-M05","2015 Mayo","T017014","Huasco",14.51,,
"2015-M06","2015 Junio","T017014","Huasco",14.28,,
"2015-M07","2015 Julio","T017014","Huasco",14.08,,
"2015-M08","2015 Agosto","T017014","Huasco",14.11,,
"2015-M09","2015 Septiembre","T017014","Huasco",14.62,,
"2015-M10","2015 Octubre","T017014","Huasco",14.32,,
"2015-M11","2015 Noviembre","T017014","Huasco",14.19,,
"2015-M12","2015 Diciembre","T017014","Huasco",15.27,,
"2015-M01","2015 Enero","T017015","Coquimbo",17.65,,
"2015-M02","2015 Febrero","T017015","Coquimbo",18.22,,
"2015-M03","2015 Marzo","T017015","Coquimbo",17.97,,
"2015-M04","2015 Abril","T017015","Coquimbo",17.08,,
"2015-M05","2015 Mayo","T017015","Coquimbo",15.08,,
"2015-M06","2015 Junio","T017015","Coquimbo",13.94,,
"2015-M07","2015 Julio","T017015","Coquimbo",13.76,,
"2015-M08","2015 Agosto","T017015","Coquimbo",14.32,,
"2015-M09","2015 Septiembre","T017015","Coquimbo",15.18,,
"2015-M10","2015 Octubre","T017015","Coquimbo",15.63,,
"2015-M11","2015 Noviembre","T017015","Coquimbo",16.19,,
"2015-M12","2015 Diciembre","T017015","Coquimbo",17.54,,
"2017-M01","2017 Enero","T017015","Coquimbo",19.26,,
"2017-M02","2017 Febrero","T017015","Coquimbo",19.59,,
"2017-M03","2017 Marzo","T017015","Coquimbo",18.38,,
"2017-M04","2017 Abril","T017015","Coquimbo",16.95,,
"2017-M05","2017 Mayo","T017015","Coquimbo",14.75,,
"2017-M06","2017 Junio","T017015","Coquimbo",14.01,,
"2017-M07","2017 Julio","T017015","Coquimbo",13.89,,
"2017-M08","2017 Agosto","T017015","Coquimbo",13.72,,
"2017-M09","2017 Septiembre","T017015","Coquimbo",13.76,,
"2017-M10","2017 Octubre","T017015","Coquimbo",14.58,,
"2017-M11","2017 Noviembre","T017015","Coquimbo",15.14,,
"2017-M12","2017 Diciembre","T017015","Coquimbo",16.76,,
"2015-M01","2015 Enero","T017016","Pichidangui",15.54,,
"2015-M02","2015 Febrero","T017016","Pichidangui",15.42,,
"2015-M03","2015 Marzo","T017016","Pichidangui",16.7,,
"2015-M04","2015 Abril","T017016","Pichidangui",14.75,,
"2015-M05","2015 Mayo","T017016","Pichidangui",13.24,,
"2015-M06","2015 Junio","T017016","Pichidangui",12.32,,
"2015-M07","2015 Julio","T017016","Pichidangui",12.63,,
"2015-M08","2015 Agosto","T017016","Pichidangui",13.2,,
"2015-M09","2015 Septiembre","T017016","Pichidangui",13.44,,
"2015-M10","2015 Octubre","T017016","Pichidangui",13.93,,
"2015-M11","2015 Noviembre","T017016","Pichidangui",13.3,,
"2015-M12","2015 Diciembre","T017016","Pichidangui",13.91,,
"2015-M01","2015 Enero","T017017","Isla Robinson Crusoe",18.01,,
"2015-M02","2015 Febrero","T017017","Isla Robinson Crusoe",19.25,,
"2015-M03","2015 Marzo","T017017","Isla Robinson Crusoe",19.49,,
"2015-M04","2015 Abril","T017017","Isla Robinson Crusoe",19.01,,
"2015-M05","2015 Mayo","T017017","Isla Robinson Crusoe",17.74,,
"2015-M06","2015 Junio","T017017","Isla Robinson Crusoe",16.46,,
"2015-M07","2015 Julio","T017017","Isla Robinson Crusoe",15.11,,
"2015-M08","2015 Agosto","T017017","Isla Robinson Crusoe",14.36,,
"2015-M09","2015 Septiembre","T017017","Isla Robinson Crusoe",14,,
"2015-M10","2015 Octubre","T017017","Isla Robinson Crusoe",14.35,,
"2015-M11","2015 Noviembre","T017017","Isla Robinson Crusoe",14.82,,
"2015-M12","2015 Diciembre","T017017","Isla Robinson Crusoe",16.81,,
"2017-M01","2017 Enero","T017017","Isla Robinson Crusoe",19.93,,
"2017-M02","2017 Febrero","T017017","Isla Robinson Crusoe",21.29,,
"2017-M03","2017 Marzo","T017017","Isla Robinson Crusoe",20.89,,
"2017-M04","2017 Abril","T017017","Isla Robinson Crusoe",19.61,,
"2017-M05","2017 Mayo","T017017","Isla Robinson Crusoe",18.56,,
"2017-M06","2017 Junio","T017017","Isla Robinson Crusoe",16.95,,
"2017-M07","2017 Julio","T017017","Isla Robinson Crusoe",15.4,,
"2017-M08","2017 Agosto","T017017","Isla Robinson Crusoe",13.97,,
"2017-M09","2017 Septiembre","T017017","Isla Robinson Crusoe",13.57,,
"2017-M10","2017 Octubre","T017017","Isla Robinson Crusoe",13.96,,
"2017-M11","2017 Noviembre","T017017","Isla Robinson Crusoe",15.25,,
"2017-M12","2017 Diciembre","T017017","Isla Robinson Crusoe",16.33,,
"2015-M01","2015 Enero","T017018","Quintero",16.75,,
"2015-M02","2015 Febrero","T017018","Quintero",16.38,,
"2015-M03","2015 Marzo","T017018","Quintero",17.95,,
"2015-M04","2015 Abril","T017018","Quintero",15.92,,
"2015-M05","2015 Mayo","T017018","Quintero",14.16,,
"2015-M06","2015 Junio","T017018","Quintero",12.61,,
"2015-M07","2015 Julio","T017018","Quintero",12.63,,
"2015-M08","2015 Agosto","T017018","Quintero",13.47,,
"2015-M09","2015 Septiembre","T017018","Quintero",14.01,,
"2015-M10","2015 Octubre","T017018","Quintero",14.06,,
"2015-M11","2015 Noviembre","T017018","Quintero",13.55,,
"2015-M12","2015 Diciembre","T017018","Quintero",14.93,,
"2016-M01","2016 Enero","T017018","Quintero",19.31,,
"2016-M02","2016 Febrero","T017018","Quintero",18.56,,
"2016-M03","2016 Marzo","T017018","Quintero",18.23,,
"2016-M04","2016 Abril","T017018","Quintero",16.63,,
"2016-M05","2016 Mayo","T017018","Quintero",16.6,,
"2016-M06","2016 Junio","T017018","Quintero",16.07,,
"2016-M07","2016 Julio","T017018","Quintero",16.22,,
"2016-M08","2016 Agosto","T017018","Quintero",16.37,,
"2016-M09","2016 Septiembre","T017018","Quintero",16.34,,
"2016-M10","2016 Octubre","T017018","Quintero",16.47,,
"2016-M11","2016 Noviembre","T017018","Quintero",17.25,,
"2016-M12","2016 Diciembre","T017018","Quintero",16.86,,
"2015-M01","2015 Enero","T017019","Valparaíso",16.34,,
"2015-M02","2015 Febrero","T017019","Valparaíso",15.85,,
"2015-M03","2015 Marzo","T017019","Valparaíso",17.15,,
"2015-M04","2015 Abril","T017019","Valparaíso",14.78,,
"2015-M05","2015 Mayo","T017019","Valparaíso",13.67,,
"2015-M06","2015 Junio","T017019","Valparaíso",12.29,,
"2015-M07","2015 Julio","T017019","Valparaíso",12.37,,
"2015-M08","2015 Agosto","T017019","Valparaíso",13.3,,
"2015-M09","2015 Septiembre","T017019","Valparaíso",13.63,,
"2015-M10","2015 Octubre","T017019","Valparaíso",13.67,,
"2015-M11","2015 Noviembre","T017019","Valparaíso",13.39,,
"2015-M12","2015 Diciembre","T017019","Valparaíso",14.39,,
"2016-M01","2016 Enero","T017019","Valparaíso",16.73,,
"2016-M02","2016 Febrero","T017019","Valparaíso",16.1,,
"2016-M03","2016 Marzo","T017019","Valparaíso",15.78,,
"2016-M04","2016 Abril","T017019","Valparaíso",14.16,,
"2016-M05","2016 Mayo","T017019","Valparaíso",14.07,,
"2016-M06","2016 Junio","T017019","Valparaíso",12.44,,
"2016-M07","2016 Julio","T017019","Valparaíso",12.44,,
"2016-M08","2016 Agosto","T017019","Valparaíso",12.47,,
"2016-M09","2016 Septiembre","T017019","Valparaíso",12.89,,
"2016-M10","2016 Octubre","T017019","Valparaíso",13.77,,
"2016-M11","2016 Noviembre","T017019","Valparaíso",14.32,,
"2016-M12","2016 Diciembre","T017019","Valparaíso",14.91,,
"2017-M01","2017 Enero","T017019","Valparaíso",16.01,,
"2017-M02","2017 Febrero","T017019","Valparaíso",16.13,,
"2017-M03","2017 Marzo","T017019","Valparaíso",15.63,,
"2017-M04","2017 Abril","T017019","Valparaíso",14.06,,
"2017-M05","2017 Mayo","T017019","Valparaíso",14.28,,
"2017-M06","2017 Junio","T017019","Valparaíso",13.4,,
"2017-M07","2017 Julio","T017019","Valparaíso",13.36,,
"2017-M08","2017 Agosto","T017019","Valparaíso",12.55,,
